,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view_of_house,condition_of_house,grade_of_house,sqft_above,sqft_basement,year_of_renovation,yr_built,zipcode
0,565000,5,2.5,2650,11455,1,0,poor,good,fair,1400,1250,Never,1961,98008
1,398000,3,1.75,1890,16001,1.5,0,poor,very good,fair,1890,0,Never,1950,98011
2,455000,3,2.25,2180,6850,1,0,poor,good,fair,1750,430,Never,1973,98034
3,860000,3,2,2090,4190,1.5,0,poor,very good,good,1490,600,Never,1930,98122
4,840500,4,2.25,2290,12174,1,1,excellent,good,fair,1490,800,Never,1948,98178
5,229000,3,1,1590,6240,1,0,poor,good,fair,1060,530,Never,1956,98146
6,611900,1,2.25,1220,2100,2,0,good,very good,good,1220,0,1970s,1946,98033
7,247500,4,2,1760,8400,1,0,poor,good,fair,1060,700,Never,1962,98003
8,515000,4,2.5,2890,15067,2,0,poor,good,good,2890,0,Never,2003,98024
9,319950,2,1,920,8341,1,0,poor,good,fair,920,0,Never,1939,98146
10,244500,3,1.75,1210,8864,1,0,poor,good,fair,1210,0,Never,1985,98042
11,575000,3,1.75,2010,3800,2,0,poor,fair,fair,2010,0,Never,1922,98112
12,418200,3,2.25,2240,9542,1,0,fair,good,fair,1190,1050,Never,1980,98198
13,880000,6,2.5,2640,3680,2,0,poor,excellent,good,1760,880,Never,1922,98126
14,670950,3,2.5,1790,2375,3,0,poor,good,good,1790,0,Never,2007,98107
15,219900,3,1,860,6664,1,0,poor,good,fair,860,0,Never,1944,98178
16,353000,4,2.5,1830,5331,2,0,poor,good,fair,1830,0,Never,2002,98038
17,425000,3,2.25,1400,6970,2,0,poor,good,good,1400,0,Never,1984,98006
18,323000,3,1.75,1830,12500,1,0,fair,good,fair,1200,630,Never,1947,98178
19,392000,3,1,1230,9600,1,0,poor,good,fair,1230,0,Never,1952,98118
20,659000,4,2,1980,23625,2,0,poor,good,good,1980,0,1980s,1938,98072
21,565000,4,2.75,3130,139392,2,0,poor,very good,good,3130,0,Never,1981,98030
22,600000,4,2.75,3110,11225,2,0,poor,good,good,3110,0,Never,2012,98059
23,282950,3,1,1250,8200,1,0,poor,very good,fair,1250,0,Never,1954,98003
24,575000,4,2.5,2520,35636,2,0,poor,good,good,2520,0,Never,1980,98053
25,299999,4,2.5,1981,4828,2,0,poor,good,good,1981,0,Never,2013,98092
26,249900,3,2.5,1630,7700,1,0,poor,good,fair,1120,510,Never,1978,98031
27,535000,3,2.75,1320,1125,3,0,poor,good,good,1320,0,Never,2008,98103
28,289000,3,1.5,1970,22486,1,0,poor,very good,fair,1970,0,Never,1968,98058
29,800000,3,1.75,2080,75794,1,0,poor,good,fair,2080,0,Never,1958,98033
30,515000,4,2.5,2030,39049,1,0,poor,very good,fair,1530,500,Never,1953,98166
31,472500,3,2,1750,15500,1,0,poor,good,fair,1490,260,Never,1982,98075
32,415000,4,1,1620,4329,1.5,0,poor,good,fair,1620,0,Never,1927,98116
33,465000,4,2.25,2550,7650,2,0,good,very good,good,2550,0,Never,1996,98106
34,329000,4,2,1850,9126,1,0,poor,excellent,fair,1850,0,Never,1963,98059
35,549950,4,3.5,3906,9674,2,0,good,good,good,3906,0,Never,2014,98001
36,829995,5,3.25,3360,6120,2,0,poor,good,good,3360,0,Never,2014,98074
37,189950,4,2,1910,4225,1,0,poor,very good,fair,910,1000,Never,1919,98001
38,585000,4,2.5,2160,8158,1,0,poor,very good,good,1660,500,Never,1952,98115
39,269900,3,2.25,1740,9672,1,0,poor,very good,fair,1110,630,Never,1963,98031
40,195000,3,1.75,1070,6110,1,0,poor,very good,fair,1070,0,Never,1968,98002
41,370000,3,1.75,1620,37913,2,0,poor,very good,fair,1620,0,1970s,1953,98001
42,950000,5,2,2940,5500,2,0,poor,very good,good,2340,600,Never,1909,98102
43,975000,5,3.5,5470,35071,2,0,poor,good,excellent,4590,880,Never,1976,98005
44,419500,3,2.5,1360,3188,2,0,poor,good,fair,1360,0,Never,1986,98052
45,614000,3,2.5,2830,5831,2,0,poor,good,good,2830,0,Never,2010,98011
46,339000,3,1,1150,2496,1,0,poor,good,fair,1010,140,Never,1947,98126
47,430000,2,1.5,1320,1194,3,0,poor,good,fair,1320,0,Never,2001,98107
48,320000,4,2.5,2223,5780,2,0,poor,good,good,2223,0,Never,2010,98042
49,435000,2,1,1260,4080,1.5,0,poor,excellent,fair,1260,0,Never,1926,98115
50,338000,3,2.5,1590,7819,2,0,poor,good,fair,1590,0,Never,1992,98055
51,745641,4,2.5,2440,4850,2,0,poor,good,good,2440,0,Never,2013,98052
52,500000,4,2,1530,7816,1,0,poor,good,fair,1530,0,Never,1955,98133
53,257000,3,1,1450,7850,1.5,0,poor,excellent,fair,1450,0,Never,1910,98055
54,248000,3,1,1420,8800,1,0,poor,very good,fair,1090,330,Never,1981,98030
55,353000,4,2.75,2200,268329,1,0,poor,good,fair,1410,790,Never,1989,98092
56,390000,3,1.5,1600,10440,1,0,poor,good,fair,1600,0,Never,1954,98125
57,729000,3,1.5,1770,30689,1,0,excellent,good,good,1770,0,Never,1953,98177
58,401000,3,2.25,1350,2839,2,0,poor,good,fair,1350,0,Never,2003,98053
59,275000,3,1,1370,17859,1,0,poor,very good,fair,1150,220,Never,1930,98024
60,274800,3,1.75,1410,1988,2,0,poor,good,good,1410,0,Never,2014,98106
61,1150000,4,3.75,5300,37034,2,0,poor,good,excellent,5300,0,Never,1989,98077
62,499950,3,2.5,3230,129578,1,0,poor,very good,good,2100,1130,Never,1964,98014
63,1600000,5,3.75,3570,10125,2,0,poor,good,good,3570,0,Never,2014,98040
64,275000,3,1.5,1170,1174,2,0,poor,good,fair,840,330,Never,2007,98126
65,605000,4,3.25,2885,33671,2,0,poor,very good,good,2885,0,Never,1984,98027
66,616500,3,2,2080,4549,1,0,poor,excellent,fair,1040,1040,Never,1954,98115
67,325500,4,1.75,2290,8142,1,0,poor,very good,fair,1490,800,Never,1969,98055
68,212000,4,1.75,1250,12705,1,0,poor,very good,fair,1250,0,Never,1971,98023
69,395000,2,1.5,1010,3060,1,0,poor,very good,fair,1010,0,Never,1918,98103
70,615000,3,1.75,1720,4080,1,0,poor,very good,fair,960,760,Never,1924,98144
71,1590000,4,2.25,3240,11131,1,0,poor,very good,good,2080,1160,Never,1953,98004
72,271000,4,1.5,1800,9576,1,0,poor,very good,fair,1800,0,Never,1977,98045
73,650000,3,2.5,2220,6380,1.5,0,poor,very good,good,1660,560,Never,1931,98115
74,377500,3,2.25,1410,1377,2,0,poor,good,fair,1290,120,Never,2005,98027
75,306000,3,2,1160,7217,1,0,poor,good,fair,1160,0,Never,1969,98034
76,156000,3,1,770,9750,1,0,poor,good,fair,770,0,Never,1941,98188
77,467000,4,2.5,2220,7210,1,0,poor,good,fair,1270,950,Never,1973,98011
78,244000,3,1.5,1360,9625,1,0,poor,good,fair,1360,0,Never,1963,98030
79,795000,4,2.5,2920,14210,2,0,poor,very good,good,2920,0,Never,1978,98007
80,285000,4,2.25,1970,7200,2,0,poor,good,good,1970,0,Never,1979,98092
81,295000,3,1,1000,8320,1,0,poor,excellent,fair,1000,0,Never,1951,98155
82,415000,3,1.75,1340,63597,1,0,poor,very good,fair,1340,0,Never,1963,98038
83,305500,3,1,1240,6090,1,0,poor,very good,fair,1240,0,Never,1950,98155
84,550000,3,2.25,2090,8095,2,0,good,good,good,2090,0,Never,1988,98136
85,736500,4,2.5,3180,21904,2,0,very good,good,good,3180,0,Never,2000,98059
86,580000,3,2.25,1900,3960,1.5,0,poor,good,good,1200,700,Never,1905,98122
87,275000,3,1.5,1240,9125,1,0,poor,very good,fair,1240,0,Never,1967,98058
88,497000,3,2.25,1450,1387,3,0,poor,good,good,1450,0,Never,2000,98115
89,289000,2,1.5,1010,1309,2,0,poor,good,fair,860,150,Never,2007,98118
90,515000,3,2.5,1440,4394,1,0,poor,excellent,good,1440,0,Never,1987,98029
91,201000,3,1,1460,9750,1,0,poor,very good,fair,1460,0,Never,1969,98042
92,570000,3,2,1930,10929,1,0,poor,good,good,1260,670,Never,1964,98155
93,502700,4,3.5,2710,14016,2,0,poor,very good,good,2710,0,Never,1968,98155
94,308000,3,1,1010,8800,1,0,poor,very good,fair,1010,0,Never,1954,98118
95,415000,1,1,700,2550,1,0,poor,good,fair,700,0,Never,1954,98117
96,428000,3,2.5,2340,3466,2,0,poor,good,fair,2340,0,Never,2004,98065
97,165000,3,1.5,1280,7742,1,0,poor,good,fair,1280,0,Never,1973,98001
98,2200000,4,3.25,4250,18000,2,0,very good,excellent,good,3350,900,Never,1980,98040
99,340000,4,2.5,3020,8750,1,0,poor,good,good,1710,1310,Never,1960,98188
100,452100,4,2.5,3160,6540,1,0,very good,good,good,1580,1580,Never,1959,98178
101,335000,6,2,2020,7071,1,0,poor,good,fair,1010,1010,Never,1979,98108
102,615000,3,2.25,1760,1146,3,0,poor,good,good,1760,0,Never,2014,98122
103,324000,3,2.25,1550,4411,2,0,poor,good,fair,1550,0,Never,2001,98019
104,359950,4,3.5,2690,5564,2,0,poor,good,fair,2690,0,Never,2007,98038
105,395000,2,1,870,3121,1,0,poor,very good,fair,870,0,Never,1923,98107
106,369950,4,2.5,1910,10221,2,0,poor,good,good,1910,0,Never,1994,98038
107,1300000,5,1.75,2130,19180,1,0,poor,good,good,1500,630,Never,1968,98004
108,745000,4,2.25,2290,10409,2,0,poor,good,good,2290,0,Never,1972,98005
109,820000,3,2.5,2510,5503,2,0,good,good,good,2510,0,Never,1995,98136
110,265000,5,4,1400,8580,1,0,poor,excellent,fair,900,500,Never,1954,98188
111,1000000,3,2.25,2300,15952,1,0,poor,very good,good,1150,1150,Never,1963,98039
112,850000,4,2.25,2130,11843,2,0,poor,very good,good,2130,0,Never,1972,98040
113,189000,3,2,1460,11481,1,0,poor,fair,fair,1170,290,Never,1995,98045
114,385000,4,1.75,1660,10757,1,0,poor,good,fair,1000,660,Never,1980,98056
115,762500,5,3.5,3290,5880,2,0,poor,good,good,2670,620,Never,2005,98052
116,689000,3,2.5,2080,9612,1,0,very good,very good,good,1700,380,Never,1940,98125
117,297000,3,2.5,1940,14952,2,0,poor,good,good,1940,0,Never,1994,98042
118,420000,3,1.5,1780,5000,1,0,excellent,very good,fair,1030,750,Never,1958,98118
119,221000,3,2.5,1320,1780,2,0,poor,good,fair,880,440,Never,2005,98118
120,942000,4,2.75,3160,37200,2,0,very good,good,good,2310,850,Never,1939,98125
121,558000,4,2.5,3220,5120,2,0,poor,good,good,2420,800,Never,2000,98118
122,418000,3,1.75,1530,7238,1,0,poor,good,fair,1530,0,Never,1959,98155
123,335000,3,2.75,2850,8039,1,0,poor,very good,good,1540,1310,Never,1989,98031
124,375000,3,1.75,2140,13598,1.5,0,poor,very good,fair,1620,520,Never,1970,98014
125,345000,3,1.75,1520,7439,1,0,poor,very good,fair,1520,0,Never,1969,98055
126,627800,4,1.75,2010,12044,1,0,poor,good,good,2010,0,Never,1982,98074
127,729032,4,2.5,2840,12866,1,0,poor,very good,good,1780,1060,Never,1977,98005
128,287500,4,2.5,2240,6944,1,0,good,good,fair,1310,930,Never,1979,98001
129,278226,4,2.5,2390,4639,2,0,poor,good,good,2390,0,Never,2006,98038
130,348000,3,2.5,1670,5090,2,0,poor,good,fair,1670,0,Never,2003,98056
131,280000,6,3,2400,9373,2,0,poor,good,fair,2400,0,Never,1991,98002
132,1250000,3,3,3760,8500,2.5,0,very good,very good,good,3060,700,Never,1910,98116
133,318989,4,2.25,2000,9000,1,0,poor,very good,good,2000,0,Never,1978,98023
134,480000,3,1,1040,5060,1,0,poor,good,fair,1040,0,Never,1941,98116
135,660000,4,2.25,2010,15375,1,0,poor,very good,good,2010,0,Never,1957,98005
136,515000,3,2.5,3000,8250,1,0,poor,very good,good,1760,1240,Never,1963,98008
137,325000,3,1.75,2920,10573,1,0,poor,very good,fair,2920,0,Never,1964,98055
138,498000,4,2.75,2270,7375,1,0,poor,very good,fair,1290,980,Never,1973,98034
139,655000,4,3,2570,8022,1,0,poor,very good,good,1370,1200,Never,1984,98052
140,172500,3,1,1140,8800,1,0,poor,good,fair,1140,0,Never,1972,98001
141,525000,3,2.5,1740,2350,2,0,poor,good,good,1120,620,Never,1996,98112
142,850000,4,3,2720,183823,2,0,poor,good,good,2720,0,2000s,1975,98053
143,1030000,4,1.75,2110,6708,1,0,very good,good,good,1410,700,Never,1941,98105
144,840000,4,2.5,2480,4602,2,0,poor,good,good,2480,0,Never,2000,98052
145,307000,3,1,1150,6000,1.5,0,poor,good,fair,1150,0,Never,1927,98045
146,375000,3,1,1000,6947,1,0,poor,very good,fair,1000,0,Never,1947,98125
147,215000,3,1,1190,7500,1,0,poor,excellent,fair,1190,0,Never,1968,98042
148,1250000,4,2.5,3700,21755,1,0,excellent,good,excellent,2620,1080,Never,1988,98006
149,905000,5,3.5,3500,10155,2,0,poor,good,good,2570,930,Never,1996,98006
150,550000,3,1.75,1380,3402,1.5,0,poor,good,fair,1380,0,1990s,1900,98122
151,850000,2,2.75,2700,9854,1,0,poor,good,good,2700,0,Never,2012,98053
152,780000,3,1.5,1620,7500,1,0,good,very good,good,1620,0,Never,1949,98117
153,615000,3,1.75,2110,56192,1,0,poor,good,fair,1480,630,Never,1978,98072
154,308000,2,1,1080,6250,1,0,good,very good,fair,1080,0,1960s,1942,98118
155,470000,4,2.5,2700,6769,2,0,poor,good,good,2700,0,Never,1999,98042
156,599000,5,2.75,2730,22572,1,0,poor,good,fair,2080,650,1990s,1968,98075
157,702500,3,1.5,2360,6750,2,0,poor,excellent,fair,1930,430,Never,1926,98103
158,845000,4,3,2390,4000,1.5,0,poor,excellent,good,1460,930,Never,1931,98103
159,319500,4,2.5,2730,4962,2,0,poor,good,good,2730,0,Never,2006,98002
160,485000,4,2.25,1810,7068,2,0,poor,excellent,fair,1810,0,Never,1976,98034
161,619500,3,2.5,1700,4105,2,0,poor,good,good,1700,0,Never,1992,98122
162,235000,2,1,1020,7920,1,0,poor,good,fair,1020,0,Never,1939,98108
163,279500,4,2.5,1613,4338,2,0,poor,good,fair,1613,0,Never,2009,98042
164,169575,3,1,1300,8284,1,0,poor,good,fair,1300,0,Never,1968,98003
165,825000,5,3,3070,8474,2,0,poor,good,good,3070,0,Never,2011,98033
166,569000,3,2.5,2150,8060,2,0,poor,good,good,2150,0,Never,1995,98033
167,299950,3,1,1210,9525,1,0,poor,good,fair,1210,0,Never,1955,98106
168,240000,4,2,1750,7800,1,0,poor,very good,fair,1750,0,Never,1944,98166
169,263300,2,1,900,4500,1,0,poor,good,fair,900,0,Never,1951,98118
170,175000,2,1,1160,6911,1,0,poor,good,fair,1160,0,Never,1947,98125
171,650000,3,2,2660,257875,1,0,good,very good,good,1530,1130,Never,1976,98024
172,239950,3,1.75,1230,9600,1,0,poor,very good,fair,1230,0,Never,1984,98042
173,339000,3,2.25,2090,10120,1,0,poor,very good,fair,1290,800,Never,1979,98058
174,895000,3,2.5,2500,7746,2,0,poor,very good,good,1910,590,Never,1993,98112
175,459000,2,2,1480,804,3,0,poor,good,good,1480,0,Never,2008,98122
176,555000,4,2.5,2920,24074,2,0,poor,good,good,2920,0,Never,1997,98038
177,475000,3,2.75,1890,3938,2,0,poor,good,good,1890,0,Never,1999,98065
178,650000,4,2.25,2440,9320,1,0,poor,very good,fair,1880,560,Never,1957,98007
179,150000,2,1,720,212137,1,0,poor,good,fair,720,0,Never,1982,98058
180,550000,3,2.75,1960,13252,1,0,poor,excellent,good,1240,720,Never,1975,98006
181,749999,5,2.25,3060,13630,2,0,poor,good,good,3060,0,Never,1989,98006
182,842500,5,4,2980,4500,1.5,0,poor,good,fair,2070,910,Never,1921,98115
183,799000,4,2.5,3400,6742,2,0,poor,good,good,3400,0,Never,2004,98052
184,549500,3,1.75,1620,8438,1,0,poor,very good,good,1620,0,Never,1961,98125
185,1280000,4,2.5,2720,16454,1,0,fair,excellent,good,1870,850,Never,1963,98040
186,880000,4,2,2530,10800,1,0,poor,excellent,good,1350,1180,Never,1954,98040
187,500000,3,1.5,1960,8815,1,0,poor,very good,fair,1020,940,Never,1958,98006
188,457500,3,1.75,1840,4030,1,0,poor,excellent,fair,1050,790,Never,1925,98108
189,370000,3,2.5,1650,1793,3,0,poor,good,good,1650,0,Never,2007,98133
190,677500,3,1.75,2020,9718,1,0,poor,good,good,2020,0,Never,1956,98040
191,234000,3,1,1240,239144,1,0,poor,good,fair,1240,0,1990s,1921,98038
192,349810,3,1,960,8855,1,0,poor,very good,fair,960,0,Never,1958,98155
193,537000,4,1.75,2230,7957,1,0,poor,very good,fair,2230,0,Never,1967,98008
194,453000,4,2.5,2502,8306,2,0,poor,good,good,2502,0,Never,2013,98001
195,550000,3,2.5,2290,6328,2,0,poor,good,good,2290,0,Never,2001,98146
196,530000,5,2.5,2910,9636,1,0,poor,very good,fair,1690,1220,Never,1964,98008
197,363000,2,1,820,4880,1,0,poor,very good,fair,820,0,Never,1925,98136
198,269000,3,2.5,1440,3800,2,0,poor,good,fair,1440,0,Never,2005,98038
199,353000,3,1.75,2190,7021,1,0,good,very good,fair,1390,800,Never,1953,98178
200,910000,5,2.75,3750,8279,2,0,poor,good,good,3750,0,Never,2001,98074
201,469000,3,3.25,1370,1194,3,0,poor,good,good,1370,0,Never,2004,98107
202,245000,2,1,670,1675,1,0,poor,excellent,fair,670,0,Never,1960,98144
203,379260,3,2.5,1730,7202,1,0,poor,good,fair,1330,400,Never,1991,98198
204,222500,3,1,990,10125,1,0,poor,good,fair,990,0,Never,1972,98042
205,228800,4,2.5,1470,1612,2,0,poor,good,fair,980,490,Never,2003,98118
206,327000,4,2.25,1620,106722,1,0,poor,good,good,1200,420,Never,1980,98042
207,390000,3,2,1463,868,3,0,poor,good,fair,1463,0,Never,2003,98115
208,326000,2,1.5,1030,798,3,0,poor,good,good,1030,0,Never,2008,98103
209,360000,4,1.75,2140,49658,1,0,poor,excellent,fair,2140,0,Never,1959,98010
210,699950,3,2.5,2510,4106,2,0,poor,good,good,2510,0,Never,2003,98029
211,898000,3,2.25,2650,12845,1,0,very good,good,good,1770,880,Never,1977,98034
212,412000,3,2.5,1200,813,3,0,poor,good,good,1200,0,Never,2010,98144
213,412500,3,2,1680,5246,1,0,poor,good,fair,1680,0,Never,2007,98065
214,487500,2,1,1190,5000,1,0,poor,good,fair,1190,0,Never,1925,98116
215,220000,4,2.5,2130,9100,1,0,poor,good,good,1290,840,Never,1978,98030
216,656000,3,1.75,1480,7475,1.5,0,poor,good,good,1480,0,Never,1943,98115
217,1640000,5,3.5,4220,26784,1,0,poor,good,good,2110,2110,2000s,1958,98004
218,555000,2,1.5,1190,1361,2,0,poor,good,good,1190,0,Never,2007,98122
219,580000,5,2,2600,3750,1.5,0,poor,very good,fair,1400,1200,Never,1914,98105
220,152000,3,1,920,4875,1,0,poor,very good,fair,920,0,Never,1978,98042
221,907687,4,2.5,3560,6786,2,0,poor,good,good,2930,630,Never,2014,98075
222,770000,4,3,2800,9127,2,0,poor,good,good,2800,0,Never,1999,98074
223,415000,3,2.25,1820,9694,1,0,poor,good,fair,1240,580,Never,1977,98074
224,441500,3,2.5,2360,4670,2,0,poor,good,fair,2360,0,Never,1998,98065
225,1010000,2,2,1460,9052,1,0,good,excellent,fair,1460,0,Never,1900,98033
226,335000,3,2,1340,1951,1,0,poor,good,fair,670,670,Never,1915,98144
227,535000,3,2.5,1850,10109,2,0,poor,good,good,1850,0,Never,1991,98034
228,439000,3,2.5,3180,7904,1,0,poor,good,good,1810,1370,Never,2006,98056
229,795000,3,3.5,3190,10223,2,0,poor,good,good,2560,630,Never,1994,98052
230,385000,6,4,2700,7416,1,0,poor,good,fair,1350,1350,Never,1969,98108
231,457000,2,2,1440,9985,1,0,poor,good,good,1440,0,Never,2006,98053
232,495000,4,2.25,2070,20280,2,0,poor,very good,fair,2070,0,Never,1968,98072
233,245000,3,2,1410,5760,1,0,poor,good,fair,1410,0,Never,1985,98030
234,480000,5,3.5,3480,12821,2,0,good,good,good,2890,590,Never,2004,98092
235,270000,3,2.25,1420,7800,1,0,poor,very good,fair,1130,290,Never,1985,98042
236,499000,2,1.75,2040,114562,1,0,poor,very good,fair,2040,0,Never,1968,98027
237,759000,3,2.25,2950,78843,1.5,0,poor,good,good,2950,0,Never,2006,98075
238,275000,4,1,1340,22500,1.5,0,poor,good,fair,1340,0,Never,1926,98168
239,485000,5,1.5,1420,9900,1,0,poor,good,fair,1050,370,Never,1964,98008
240,925850,6,3.25,3140,14923,2,0,poor,good,good,3140,0,Never,1991,98006
241,235000,2,1,1140,1730,1.5,0,poor,good,good,1010,130,Never,2007,98126
242,349000,2,1,1150,7552,1,0,poor,good,fair,1150,0,Never,1951,98125
243,595000,3,2.5,2660,10637,2,0,poor,good,good,2660,0,Never,1991,98011
244,499900,4,2.25,2360,7650,1,0,poor,good,good,1640,720,Never,1963,98155
245,649950,3,2.5,2420,7500,1,0,good,very good,good,1210,1210,Never,1944,98117
246,207500,3,1,1640,9750,1,0,poor,good,fair,1640,0,Never,1968,98042
247,683500,3,1.5,1820,5756,1.5,0,poor,good,fair,1640,180,Never,1946,98119
