,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view_of_house,condition_of_house,grade_of_house,sqft_above,sqft_basement,year_of_renovation,yr_built,zipcode
248,535000,1,1,920,5000,1,0,very good,very good,fair,920,0,Never,1906,98103
249,495000,4,1.5,1810,7998,1,0,poor,good,good,1210,600,Never,1960,98125
250,240000,3,1.5,1890,9000,1,0,poor,good,fair,1190,700,Never,1959,98188
251,314000,3,2.75,1900,8200,2,0,poor,very good,fair,1900,0,Never,1984,98031
252,287000,3,2.5,1600,6315,2,0,poor,good,good,1600,0,Never,2013,98092
253,364500,3,1.75,1740,8424,1,0,poor,excellent,fair,1040,700,Never,1954,98133
254,755000,5,2.5,3260,24300,1.5,0,fair,very good,good,2310,950,Never,1950,98155
255,325000,2,1,1070,8750,1,0,poor,good,fair,1070,0,Never,1951,98055
256,720000,3,1.75,2040,4000,2,0,poor,excellent,fair,1360,680,Never,1924,98105
257,357000,5,2.5,2990,9240,2,0,poor,good,good,2990,0,Never,2015,98133
258,616000,4,2.5,2490,12929,2,0,poor,good,good,2490,0,Never,1983,98074
259,322500,3,1,1160,9750,1,0,poor,good,fair,1160,0,Never,1968,98077
260,355300,3,2.5,1620,7410,1,0,poor,excellent,fair,1620,0,Never,1955,98133
261,358000,3,1,940,6695,1,0,poor,very good,fair,940,0,Never,1959,98008
262,830000,5,3,3040,9601,1,0,poor,excellent,good,1970,1070,Never,1968,98040
263,419950,3,2.25,2280,8500,1,0,poor,very good,fair,1680,600,Never,1977,98034
264,409950,2,1.75,1370,5125,1,0,poor,excellent,fair,1370,0,Never,1944,98103
265,700000,4,1.75,1730,6500,1,0,poor,good,fair,1250,480,Never,1945,98115
266,670000,4,2,2250,4200,1.5,0,poor,good,fair,1650,600,Never,1909,98122
267,268500,3,2.25,1140,977,2,0,poor,good,fair,850,290,Never,2008,98126
268,435000,3,2.5,1900,7984,2,0,poor,good,good,1900,0,Never,1993,98011
269,300000,3,1,1380,12000,1,0,poor,good,fair,1380,0,Never,1963,98031
270,555000,4,2.25,2350,8140,1,0,poor,very good,good,1430,920,Never,1977,98006
271,799000,3,2.5,2860,4442,2,0,poor,good,good,2860,0,Never,2000,98199
272,375000,3,1.75,1430,10574,2,0,poor,good,fair,1430,0,Never,1981,98011
273,264900,4,2.5,2040,7000,1,0,poor,good,fair,1250,790,Never,1979,98031
274,320000,3,1.75,2300,12000,1,0,poor,good,good,1770,530,Never,1942,98133
275,845000,4,2.5,2940,7675,2,0,poor,good,good,2940,0,Never,2004,98052
276,350000,3,1.75,1980,273556,1,0,poor,good,fair,1040,940,1990s,1956,98042
277,530000,3,2.5,1950,9906,2,0,poor,good,good,1950,0,Never,1988,98074
278,615000,4,1,1340,2006,1.5,0,poor,good,fair,1340,0,Never,1931,98119
279,825000,3,1.75,2010,3090,1.5,0,poor,excellent,fair,1510,500,Never,1926,98103
280,245700,3,2.25,1640,8400,1,0,poor,good,good,1180,460,Never,1968,98032
281,472500,3,2,1790,6800,1,0,poor,very good,fair,1240,550,Never,1964,98133
282,291750,3,2.25,1310,12825,1,0,poor,good,fair,1310,0,2010s,1950,98166
283,899000,3,1,1480,6978,2,0,poor,very good,good,1480,0,1980s,1949,98004
284,440000,1,1,1160,64469,1,0,poor,good,fair,1160,0,Never,2009,98072
285,790000,3,1.5,2390,4452,2,0,fair,good,good,1790,600,Never,1929,98126
286,739000,3,1.75,2050,5160,1.5,0,poor,very good,good,1300,750,Never,1926,98112
287,366000,3,1.75,1840,11440,1,0,poor,very good,good,1340,500,Never,1977,98059
288,850000,5,2.75,3430,15119,2,0,poor,good,good,3430,0,Never,1998,98075
289,270000,3,1,1500,13500,1,0,poor,very good,fair,1500,0,Never,1968,98059
290,235000,5,1,1500,9282,1.5,0,poor,excellent,fair,1500,0,Never,1966,98168
291,215000,3,1.75,1770,29004,1,0,poor,good,good,1770,0,Never,1959,98023
292,1200000,4,3.25,3850,19842,2,0,very good,good,excellent,3180,670,Never,1989,98074
293,359000,3,1.75,2200,11520,1,0,poor,very good,fair,2200,0,Never,1952,98133
294,562000,5,3,2795,15101,2,0,poor,good,good,2795,0,Never,1996,98019
295,810000,3,2.5,2610,8481,2,0,poor,good,good,2610,0,Never,1993,98006
296,340000,4,2.75,3527,7200,2,0,poor,good,fair,3527,0,Never,2005,98198
297,549000,3,2.25,1230,1380,3,0,poor,good,good,1230,0,Never,2013,98199
298,210000,3,1,1080,21043,1,0,poor,good,fair,1080,0,Never,1942,98106
299,290000,4,1,1330,8184,1.5,0,poor,good,fair,1330,0,Never,1949,98133
300,570000,2,1,1100,6240,1,0,poor,very good,fair,1100,0,Never,1941,98199
301,397000,4,2.5,1790,6590,2,0,poor,good,fair,1790,0,Never,2005,98059
302,701000,4,2.5,3340,5314,2,0,poor,good,good,3340,0,Never,2010,98065
303,770000,7,2.25,3260,8145,2,0,poor,excellent,good,3260,0,Never,1967,98008
304,813000,4,2.75,3370,6675,1,0,very good,very good,good,1920,1450,Never,1948,98144
305,329900,4,2.75,2475,4000,2,0,poor,good,fair,2475,0,Never,2014,98002
306,700000,3,2.5,2530,623779,1,0,poor,very good,good,2530,0,Never,1980,98038
307,420000,3,2.5,2390,3903,2,0,poor,good,good,1970,420,Never,2006,98072
308,335000,3,1.75,1790,5120,1,0,poor,very good,fair,940,850,Never,1949,98106
309,535000,4,2.5,3250,6933,2,0,poor,good,good,3250,0,Never,2009,98059
310,618000,3,2.5,2340,3630,2,0,poor,good,good,2340,0,Never,1998,98122
311,1080000,3,2.5,2830,56628,2,0,poor,good,excellent,2830,0,Never,2001,98011
312,389250,2,1.5,1490,4080,1,0,poor,good,fair,930,560,Never,1956,98126
313,515000,3,2.5,2610,5845,2,0,poor,good,good,2610,0,Never,2005,98059
314,251000,3,2,1650,7930,1,0,poor,very good,fair,1650,0,Never,1989,98038
315,274500,3,2.25,1450,4050,2,0,poor,good,fair,1450,0,Never,2010,98038
316,171800,4,2,1570,9600,1,0,poor,good,fair,1570,0,Never,1950,98168
317,379950,2,1,870,7500,1,0,poor,good,fair,870,0,Never,1947,98136
318,190000,5,2,1750,10284,1,0,poor,very good,fair,1750,0,Never,1943,98056
319,200000,2,1,830,8000,1,0,poor,good,fair,830,0,Never,1954,98198
320,395000,3,1.5,1280,15028,1,0,poor,good,fair,1280,0,Never,1982,98074
321,700000,4,2.5,3100,36562,2,0,poor,good,good,3100,0,Never,1994,98077
322,685000,4,2.5,3550,10968,2,0,poor,good,good,3550,0,Never,2006,98065
323,490000,3,2,2070,10023,1,0,poor,good,good,1220,850,Never,1981,98074
324,485000,4,3.25,2820,6611,1,0,poor,good,fair,1410,1410,Never,1958,98155
325,699950,2,2.5,2390,7489,1,0,poor,good,good,2390,0,Never,2007,98053
326,540000,3,2.5,1810,3930,2,0,poor,good,good,1810,0,Never,2008,98053
327,317000,3,2,1790,8228,1,0,poor,good,fair,1390,400,Never,1980,98058
328,512000,4,2.5,2600,4506,2,0,poor,good,good,2600,0,Never,2005,98056
329,1490000,5,3.5,3620,7821,2,0,good,good,good,2790,830,2000s,1958,98040
330,1390000,4,3.5,3130,3900,2,0,poor,good,good,2550,580,Never,2008,98115
331,781000,3,1.75,1940,8729,1,0,poor,good,good,1460,480,Never,1960,98125
332,385000,3,1.75,2160,5863,1.5,0,poor,very good,fair,1260,900,Never,1928,98144
333,379900,4,1.75,1500,11600,1,0,poor,very good,fair,1000,500,Never,1955,98028
334,387000,2,1.5,1010,948,3,0,poor,good,good,1010,0,Never,1999,98103
335,320000,3,1.75,2220,11646,1,0,poor,good,fair,1270,950,Never,1950,98028
336,338500,4,2.5,2717,4513,2,0,poor,good,good,2717,0,Never,2005,98001
337,550000,3,1.75,1840,8086,1,0,poor,very good,good,1840,0,Never,1964,98052
338,425000,3,1,970,8040,1,0,poor,good,fair,970,0,Never,1956,98007
339,465000,3,1.75,1730,8073,1,0,poor,good,good,1350,380,Never,1971,98177
340,540000,4,1.75,2260,19500,1,0,good,good,good,1450,810,Never,1971,98074
341,272950,3,2.25,1570,9096,1,0,poor,very good,fair,1180,390,Never,1991,98022
342,249950,3,1.5,1450,6875,1,0,poor,very good,fair,1450,0,Never,1961,98198
343,275000,4,1.5,1610,6923,1,0,poor,good,fair,1010,600,Never,1969,98198
344,481015,3,2.25,1550,5511,2,0,poor,good,good,1550,0,Never,1987,98033
345,750000,4,2.75,3170,7634,2,0,poor,good,good,3170,0,Never,1992,98075
346,607000,3,2.5,2470,9226,2,0,poor,good,good,2470,0,Never,1991,98072
347,278500,3,2,1570,5250,1,0,poor,good,fair,1570,0,Never,1998,98092
348,955990,5,3.25,3830,6507,2,0,poor,good,good,3830,0,Never,2014,98053
349,225000,2,1,830,5720,1,0,poor,very good,fair,830,0,Never,1950,98133
350,185000,3,1.75,1430,10816,2,0,poor,good,fair,1430,0,Never,1994,98010
351,572000,3,1.5,1680,13751,1,0,poor,very good,fair,1680,0,Never,1951,98040
352,182200,4,1,1130,13927,1.5,0,poor,good,fair,1130,0,Never,1929,98168
353,502550,3,1.75,1770,7875,1,0,poor,very good,fair,1170,600,Never,1958,98008
354,345000,1,1,540,10125,1,0,poor,good,fair,540,0,Never,1961,98177
355,838000,3,3.75,2930,150945,2,0,poor,good,good,2930,0,1990s,1972,98058
356,275000,3,2,1380,3500,2,0,poor,good,fair,1380,0,Never,1971,98118
357,302282,2,1,1095,5120,1.5,0,poor,good,fair,1095,0,Never,1901,98122
358,715000,3,2.25,1990,4977,3,0,poor,good,good,1990,0,Never,2012,98118
359,375000,5,1.75,2230,7560,1,0,poor,good,fair,1230,1000,Never,1959,98178
360,488000,3,2.5,3160,13603,2,0,poor,good,good,3160,0,Never,2003,98019
361,760000,3,3.25,3320,15022,2,0,poor,good,good,3320,0,Never,1989,98166
362,240000,2,1,670,10920,1,0,poor,good,fair,670,0,Never,1942,98146
363,390000,3,2,1840,16815,1,0,poor,excellent,fair,960,880,Never,1972,98059
364,828000,4,2.5,3520,9901,2,0,poor,good,good,3520,0,Never,1998,98074
365,201000,5,1.75,1660,78408,1.5,0,poor,good,fair,1660,0,Never,1915,98065
366,391000,3,2,1490,9000,1,0,poor,very good,good,1490,0,Never,1977,98006
367,260000,2,1,570,81893,1,0,fair,good,fair,570,0,Never,1936,98070
368,439000,5,3.5,2880,10000,2,0,very good,good,good,1980,900,Never,1991,98055
369,529000,3,1.75,2340,7724,1,0,poor,good,good,2340,0,Never,2010,98058
370,240000,3,2,1190,10299,1,0,poor,good,fair,1190,0,Never,1994,98010
371,410000,3,2,1400,45738,2,0,poor,very good,good,1400,0,Never,1981,98070
372,569500,4,2.5,2340,8248,2,0,poor,good,good,2340,0,Never,1989,98074
373,785000,3,2,2090,5015,1.5,0,poor,excellent,fair,2090,0,Never,1920,98112
374,275000,4,2.5,2180,11132,1,0,poor,very good,good,1620,560,Never,1978,98023
375,663000,3,2.25,2840,59677,1,0,poor,good,fair,1580,1260,Never,1967,98075
376,595000,3,1,1300,11520,1,0,poor,good,fair,1300,0,Never,1958,98033
377,815000,3,2.5,3400,12442,2,0,poor,good,good,3400,0,Never,2001,98075
378,245000,3,1.75,1490,6930,1,0,poor,very good,fair,1490,0,Never,1990,98030
379,1780000,4,3.25,3730,7071,3,0,good,good,excellent,3730,0,Never,1985,98109
380,212625,2,1,960,5000,1,0,poor,good,fair,960,0,Never,1951,98126
381,555000,4,2,1680,2600,1,0,poor,excellent,fair,840,840,Never,1915,98107
382,775000,4,2.5,2880,8400,2,0,excellent,good,good,2050,830,1980s,1955,98177
383,379500,3,1,1110,7128,1,0,poor,good,fair,1110,0,Never,1980,98052
384,550000,3,1,880,6664,1,0,poor,good,fair,880,0,Never,1961,98033
385,525000,3,1,1640,6180,1,0,poor,very good,fair,1640,0,Never,1946,98118
386,335000,3,1,1020,10200,1,0,poor,very good,fair,1020,0,Never,1954,98133
387,849000,4,1.5,2440,8040,1,0,poor,very good,good,1440,1000,Never,1950,98177
388,688000,4,3,3400,292723,2,0,poor,good,good,3400,0,Never,1998,98045
389,589000,3,1.75,920,3600,1,0,poor,very good,fair,820,100,Never,1904,98119
390,739999,4,2.75,3350,6500,2,0,poor,good,good,3350,0,Never,1999,98075
391,415000,3,1,1570,11752,1.5,0,poor,excellent,good,1570,0,Never,1930,98133
392,285000,3,1,1210,4731,1.5,0,poor,good,fair,1210,0,Never,1901,98117
393,1800000,5,5,4490,10279,2,0,poor,good,good,3930,560,Never,2013,98004
394,1230000,3,2.5,3420,79279,2,0,poor,good,excellent,3420,0,Never,1990,98052
395,786000,4,3.5,3320,8808,2,0,poor,good,good,3320,0,Never,2005,98075
396,203000,3,1.5,1370,7500,1,0,poor,good,fair,1080,290,Never,1958,98198
397,255000,3,1.5,1020,11410,1,0,poor,good,fair,1020,0,Never,1959,98059
398,297000,3,1,1340,18000,1,0,poor,very good,fair,1340,0,Never,1924,98070
399,274250,3,1,910,8450,1,0,poor,very good,fair,910,0,Never,1962,98059
400,785000,3,2,2180,5440,1,0,poor,excellent,fair,1100,1080,Never,1904,98103
401,699800,2,2.5,2380,6600,1,0,poor,good,good,2380,0,Never,2010,98053
402,590000,3,2.5,2210,8622,2,0,poor,good,good,2210,0,Never,1988,98029
403,292500,2,1,880,17743,1,0,poor,very good,fair,880,0,Never,1951,98031
404,710000,3,2,2140,4923,1,0,poor,very good,good,1070,1070,Never,1928,98103
405,777000,4,4,2680,6000,1,0,poor,good,fair,1380,1300,2010s,1962,98199
406,245000,3,2,1470,8000,1,0,poor,very good,good,1470,0,Never,1974,98023
407,265000,3,2.5,1640,7668,2,0,poor,good,fair,1640,0,Never,1991,98038
408,237000,3,1,1160,6132,1,0,poor,very good,fair,1160,0,Never,1958,98056
409,499900,3,1.75,2430,8820,1,0,good,good,good,1630,800,Never,1977,98178
410,525000,4,2.25,2660,7957,1,0,poor,very good,good,1750,910,Never,1977,98011
411,265500,3,1,1860,9225,1,0,poor,good,fair,1860,0,Never,1957,98198
412,439900,5,3.5,3390,7950,2,0,good,good,fair,3390,0,Never,2003,98056
413,430000,3,2,1730,9000,1,0,poor,good,good,1370,360,Never,1978,98027
414,1010000,4,3.5,3130,5000,3,0,poor,good,good,3130,0,Never,2014,98116
415,550000,3,2,1810,4064,1.5,0,poor,good,fair,1810,0,Never,1925,98103
416,280000,3,2.5,1580,7000,2,0,poor,good,good,1580,0,Never,1992,98030
417,393000,2,1,830,5000,1,0,poor,very good,fair,830,0,Never,1921,98103
418,1450000,5,3.5,4170,9090,2,0,poor,good,good,4170,0,Never,2008,98004
419,415000,3,1.75,2650,7500,1.5,0,poor,very good,fair,1590,1060,Never,1962,98155
420,1580000,3,3.25,3690,7200,2,0,poor,good,excellent,3690,0,Never,2007,98033
421,230000,3,2,1160,1174,2,0,poor,good,fair,790,370,Never,2007,98106
422,550000,3,1.75,1940,8376,1,0,poor,very good,good,1290,650,Never,1963,98006
423,335000,2,1.75,1270,1685,2,0,poor,good,good,1270,0,Never,2012,98108
424,961000,5,2.75,2590,6120,2,0,poor,good,good,2590,0,Never,1909,98105
425,216000,2,1,710,5120,1,0,poor,good,fair,710,0,Never,1918,98106
426,160000,3,2.25,1470,8682,1,0,poor,good,fair,1160,310,Never,1985,98003
427,251100,4,2.5,1790,5257,2,0,poor,good,fair,1790,0,Never,1996,98030
428,1160000,4,2.5,3860,10361,2,0,good,very good,good,2940,920,Never,1985,98006
429,780000,5,2,2880,12000,2,0,poor,good,good,2880,0,Never,1921,98144
430,299000,5,2.5,2220,9360,1,0,poor,very good,fair,1110,1110,Never,1968,98058
431,275000,4,2.5,2060,5742,2,0,poor,good,fair,2060,0,Never,1999,98030
432,689500,4,2.5,2050,2772,2,0,poor,good,good,2050,0,Never,2013,98029
433,3100000,6,4.25,6980,15682,3,0,excellent,very good,excellent,5330,1650,Never,1999,98040
434,450000,2,1,910,5000,1,0,poor,very good,fair,910,0,Never,1914,98117
435,461000,3,2.5,1690,3026,2,0,poor,good,fair,1690,0,Never,2002,98053
436,485000,4,2.5,2400,10364,2,0,poor,good,good,2400,0,Never,1995,98045
437,453000,3,1.75,1430,20193,1,0,poor,good,fair,1430,0,Never,1955,98006
438,899000,4,3.5,2490,5500,2,0,poor,good,good,1780,710,Never,2015,98136
439,429950,4,2.5,2320,4524,2,0,poor,good,good,2320,0,Never,2004,98059
440,940000,4,2,2490,9525,2,0,poor,excellent,good,2490,0,Never,1968,98040
441,532500,3,1.75,1330,5000,2,0,poor,very good,fair,1210,120,Never,1909,98116
442,300000,3,1,1290,12415,1.5,0,poor,good,fair,1290,0,Never,1908,98070
443,270000,3,2.25,1400,3825,2,0,poor,good,fair,1400,0,Never,2012,98042
444,325000,2,1,1130,5070,1,0,poor,very good,fair,1130,0,Never,1955,98146
445,412500,4,2.25,1630,7969,1,0,poor,good,fair,1100,530,Never,1977,98034
446,450000,3,2.25,1780,9969,1,0,poor,good,good,1450,330,Never,1985,98034
447,428950,2,1,1760,4441,1,0,poor,good,good,1310,450,Never,1950,98126
448,494000,3,2.5,2310,4729,2,0,poor,good,good,2310,0,Never,2011,98028
449,814950,4,2.75,2990,6626,2,0,poor,good,good,2990,0,Never,2014,98052
450,528000,3,2.5,2020,5613,2,0,poor,good,fair,2020,0,Never,2003,98053
451,235000,3,1,1250,15603,1,0,poor,very good,fair,1250,0,Never,1959,98056
452,345000,4,2.75,2250,7412,1,0,poor,very good,good,1480,770,Never,1975,98058
453,224000,3,1.75,1100,10125,1,0,poor,very good,fair,1100,0,Never,1969,98092
454,375000,2,1.5,1160,1648,2,0,poor,good,fair,1160,0,Never,2002,98144
455,460500,3,1,1490,10650,1,0,poor,good,fair,1150,340,Never,1963,98033
456,448000,4,2.5,2510,6853,2,0,good,good,good,2510,0,Never,2006,98038
457,591000,3,2,1460,3600,2,0,poor,good,fair,1460,0,Never,1902,98122
458,515000,3,1.75,1900,5000,1,0,poor,very good,fair,950,950,Never,1925,98106
459,900000,3,2.5,1920,7200,2,0,good,good,good,1780,140,Never,1997,98116
460,798000,3,3.5,3590,6402,2,0,poor,good,good,3590,0,Never,1999,98074
461,375000,3,2.25,1540,1561,3,0,poor,good,good,1540,0,Never,2010,98103
462,665000,4,2.5,2510,5936,2,0,poor,good,good,2510,0,Never,1998,98075
463,865000,3,2.5,3050,12558,2,0,poor,good,good,3050,0,Never,1997,98074
464,350000,3,1.75,1900,10225,1,0,poor,very good,good,1220,680,Never,1963,98166
465,400000,3,1.75,1530,10731,1,0,poor,good,fair,1530,0,Never,1986,98028
466,280005,3,1.5,1130,7200,1,0,poor,good,fair,1130,0,Never,1954,98178
467,707900,3,1,1750,5355,2,0,poor,very good,fair,1750,0,Never,1929,98115
468,280000,3,2.5,1600,7936,2,0,poor,good,fair,1600,0,Never,1996,98038
469,865000,2,1,1470,5400,1.5,0,poor,good,good,1470,0,Never,1912,98119
470,628000,4,2,2260,6000,1,0,poor,good,good,1430,830,Never,1958,98115
471,310000,3,2.5,1780,6771,1,0,poor,good,fair,1230,550,Never,1990,98106
472,447000,3,1,1370,6001,1,0,poor,excellent,fair,1230,140,Never,1944,98108
473,855000,5,3.25,3420,5669,2,0,poor,good,good,2620,800,Never,2003,98027
474,790000,3,2.5,2390,15084,2,0,poor,good,good,2390,0,Never,2000,98010
475,809950,4,3.5,3660,4903,2,0,poor,good,good,2760,900,Never,2014,98034
476,597500,3,2.5,2620,4800,2,0,poor,good,fair,2620,0,Never,2002,98053
477,360000,3,1,1660,9600,1,0,poor,good,fair,1660,0,Never,1963,98034
478,439000,1,1,790,2400,1,0,poor,good,fair,790,0,Never,1918,98122
479,1140000,3,2.5,2780,33503,1.5,0,fair,very good,good,2110,670,Never,1969,98075
480,319900,3,2.5,2040,7580,2,0,good,good,good,2040,0,Never,1998,98092
481,435000,1,1,670,1800,1,0,poor,excellent,fair,670,0,Never,1905,98103
482,1210000,5,4.25,4420,13497,2,0,poor,good,excellent,3510,910,Never,2000,98059
483,812000,3,2.5,2040,4559,2,0,poor,good,good,2040,0,Never,1998,98122
484,305000,4,1.75,2200,8100,1.5,0,poor,excellent,fair,1400,800,Never,1942,98168
485,279000,3,2.5,1540,7280,1,0,poor,good,fair,1080,460,Never,1974,98003
486,250000,2,1.5,1160,1086,2,0,poor,good,fair,890,270,Never,2006,98155
487,998000,4,2.25,2420,10200,2,0,poor,very good,good,2420,0,Never,1973,98040
488,406000,4,1.5,1920,6000,2,0,fair,good,fair,1920,0,Never,1951,98198
489,485000,3,2.75,2650,12350,1,0,poor,very good,fair,1470,1180,Never,1975,98028
490,426700,3,1.75,2080,7700,1,0,poor,excellent,fair,1600,480,Never,1968,98056
491,204000,3,1,1000,12070,1,0,poor,very good,fair,1000,0,Never,1968,98042
492,535000,3,2.5,2210,7620,2,0,poor,good,good,2210,0,Never,1994,98052
493,187000,2,1.75,1050,2926,1,0,poor,very good,good,1050,0,Never,1974,98198
494,350000,4,2.5,2506,7206,2,0,poor,good,good,2506,0,Never,2007,98023
495,449000,4,2,1560,5220,1,0,poor,good,fair,1560,0,Never,1959,98115
496,872500,3,2.5,2040,6000,1,0,poor,good,good,1840,200,Never,1951,98109
497,305000,4,2.5,2430,9103,2,0,poor,good,good,2430,0,Never,1990,98023
498,495000,4,2.25,2350,10072,2,0,poor,good,good,2350,0,Never,1980,98011
499,1330000,4,4,4420,16526,2,0,poor,good,excellent,4420,0,Never,2013,98075
